brand,name,ym,km,trans,price
2, 올뉴K7 2.4 GDI 프레스티지,2016,73569,1,1670
1, G80 3.3 GDI,2019,22233,1,3390
3, 그랜저IG 2.4 GDI 모던,2018,111949,1,1589
2, K5 MX 2.0 LPI 노블레스,2017,98393,1,1290
3, LF 소나타 2.0 스마트,2016,107307,1,1290
6, SM7노바 2.5 V6,2016,80251,1,1130
1, G80 3.3 GDI AWD,2018,86292,1,3199
1, G80(RG3) 3.5 가솔린 터보 AWD,2020,60215,1,4930
1, G80 3.3 GDI AWD,2016,76098,1,3120
3, 아반떼(CN7) 1.6 인스퍼레이션,2020,9218,1,2580
3, 벨로스터(JS) 1.6 터보 스포츠 코어,2019,47656,1,1920
3, 그랜저IG 3.0 GDI 익스클루시브,2017,97383,1,2170
2, 더뉴K9 3.3 GDI 프레스티지,2016,150827,1,1730
3, 3DH G330 모던 AWD,2016,104308,1,1720
3, 소나타뉴라이즈 2.0 모던,2019,14898,1,2150
1, EQ900 3.8 GDI,2017,54118,1,3689
3, 그랜저 IG 하이브리드 익스클루시브 스페셜,2018,67260,1,2940
3, 그랜저IG 3.0 GDI 익스클루시브,2017,31149,1,2899
3, 그랜저IG 2.4 GDI 모던,2018,41376,1,1819
6, SM5노바 PE,2017,44392,1,1020
6, SM6 2.0 GDe,2017,47234,1,1690
2, K5 SX 2.0 LPI 럭셔리,2016,108515,1,850
4, 더뉴스파크 LT,2018,44226,1,840
3, 벨로스터(JS) 1.4 터보 모던,2018,95329,1,1189
2, 더뉴K5(2세대) 2.0,2018,70656,1,1900
2, 올뉴모닝(JA) LPI 디럭스,2018,17588,1,800
3, 아이오닉 Q,2016,84609,1,1859
2, 더뉴k3 1.6 GDI 트렌디,2017,33373,1,970
3, 그랜저HG HG220 PREMIUM,2016,47287,1,1880
3, 아반떼AD 1.6 GDI 스마트,2017,52374,1,1280
2, 더K9 3.3 GDI AWD,2018,121922,1,3459
2, 더뉴K5(2세대) 2.0 LPI,2019,41113,1,1799
1, EQ900 5.0 GDI AWD 리무진,2016,85576,1,4499
1, G80 3.3 GDI AWD,2019,33246,1,4299
3, 3DH G330 프리미엄 AWD,2016,103163,1,1999
2, K5 SX 2.0 프레스티지,2017,86334,1,1700
6, SM6 2.0 GDe,2016,70151,1,1400
6, SM6 2.0 GDe,2016,61211,1,1199
2, 올뉴K7 R 2.2 프레스티지,2017,58630,1,1930
2, K8 3.5 2WD,2021,82,1,4590
2, K7 프리미어 2.2 E-VGT,2019,64915,1,2550
2, 올뉴모닝(JA) 럭셔리,2018,29037,1,950
1, EQ900 3.8 GDI AWD,2016,49958,1,3990
1, 더뉴G70 가솔린 2.0T 2WD,2021,8865,1,3980
2, 레이 럭셔리,2017,67847,1,950
3, 소나타뉴라이즈 2.0 스타일,2018,29382,1,1590
2, 더뉴모닝 럭셔리,2016,47021,1,699
3, 그랜저IG 2.4 GDI 모던,2018,121475,1,1589
4, 볼트EV EV LT 디럭스,2018,87050,1,2290
2, 올뉴모닝(JA) 럭셔리,2020,5444,1,1120
2, 쏘울 EV EV,2017,55186,1,1500
2, 더뉴레이 프레스티지,2020,9247,1,1520
2, 올뉴K7하이브리드 노블레스 스페셜,2019,84571,1,3080
2, 올뉴K3 G1.6 럭셔리,2018,111783,1,1089
3, 그랜저IG 3.0 GDI 익스클루시브,2017,53840,1,2960
2, 더뉴k3 1.6 GDI 디럭스,2017,114873,1,790
2, 올뉴K3 G1.6 럭셔리,2018,119927,1,939
4, 더 넥스트 스파크 1.0 가솔린 LT,2017,22572,1,830
3, 소나타뉴라이즈 2.0 스마트,2017,76884,1,1450
3, 벨로스터(JS) 1.6 터보 스포츠 코어,2018,68789,1,1199
1, G80(RG3) 3.5 가솔린 터보 AWD,2021,14034,1,7390
4, 더뉴스파크 LT,2018,27937,1,880
3, 그랜저IG 2.4 GDI 프리미엄,2018,50956,1,2130
3, 그랜저IG 2.2 VGT 프리미엄,2017,98704,1,1969
2, K5 MX 2.0 LPI 프레스티지,2016,99830,1,1099
2, 올뉴K7 2.4 GDI 프레스티지,2016,73686,1,1580
4, 볼트EV EV 프리미어,2018,45718,1,2590
3, 벨로스터(JS) 1.4 터보 모던,2018,102300,1,1000
2, 쏘울 EV EV,2018,42495,1,1590
3, 그랜저IG 3.0 LPI 익스클루시브,2017,49041,1,2580
6, SM6 2.0 LPe,2019,72279,1,1320
3, 아반떼AD 1.6 T-GDI 스포츠,2017,104092,0,1000
1, G80 3.8 GDI,2017,93941,1,3550
2, 쏘울 EV EV,2018,34294,1,1590
3, 그랜저IG 2.2 VGT 프리미엄,2017,100000,1,2120
2, 올뉴K7 3.3 GDI 노블레스 스페셜,2017,80108,1,2489
2, 올뉴K7 3.0 GDI 리미티드,2018,40418,1,2290
6, SM6 2.0 LPe,2017,92538,1,1150
1, 더뉴G70 가솔린 3.3T 4WD,2021,75,1,5500
1, G80 3.3 GDI AWD,2016,79112,1,3100
3, 그랜저HG HG300 EXCLUSIVE,2016,117374,1,1600
3, 더뉴아반떼AD 1.6,2019,28838,1,1790
3, 더뉴아반떼AD 1.6,2018,112424,1,1239
3, 벨로스터(JS) 1.6 터보 스포츠 코어,2020,4375,1,2299
1, G80 3.8 GDI AWD,2017,39746,1,4100
1, EQ900 3.3 T-GDI AWD,2016,82120,1,3490
3, 아반떼AD 1.6 GDI 스마트,2016,76602,1,1070
3, 그랜저IG 2.4 GDI 모던,2017,57910,1,2250
1, G80 3.3 GDI,2018,25390,1,3550
6, SM6 2.0 GDe,2018,54681,1,1280
1, G80 3.8 GDI AWD,2017,120153,1,2730
3, 아반떼AD 1.6 LPI 스타일,2017,100353,1,899
2, 올뉴K3 G1.6 럭셔리,2018,105151,1,939
1, G80 3.3 GDI AWD,2016,77904,1,3249
6, SM6 2.0 GDe,2016,97253,1,1250
1, G70 2.0T AWD,2018,37641,1,3490
2, 더뉴k3 1.6 GDI 프레스티지,2016,71541,1,1220
2, 더뉴레이 프레스티지,2018,35671,1,1299
3, 아반떼AD 1.6 GDI 밸류 플러스,2017,68616,1,1160
4, 올뉴말리부 1.5 터보 LTZ,2017,40880,1,2030
3, 소나타뉴라이즈 2.0 스마트,2017,133740,1,1300
2, K7 프리미어 2.5 GDI,2020,22063,1,2999
1, G80(RG3) 3.5 가솔린 터보 AWD,2020,25487,1,6390
3, 그랜저IG 2.4 GDI 프리미엄,2017,84586,1,2090
1, EQ900 5.0 GDI AWD,2017,15174,1,5990
3, 그랜저IG 3.0 GDI 익스클루시브,2018,128347,1,1850
2, 더뉴K5(2세대) 2.0,2018,21203,1,2020
